Model,mIoU,Inférence (ms)
Mini-Unet,0.11322710373399453,193.83639097213745
YOLOv8n,0.1580433403236449,19.445983789472923
YOLOv9,0.19822372485221168,21.472264473686664
YOLOv11n,0.14279301239038295,9.890198052630694
